,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,PTYPE,LU,OWN_OCC,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,ST_ADDRESS,SALE_PRICE
365,16,NONANTUM,ST,2135,105,R3,Y,184600,709800,894400,937332,3463.0,1910.0,2016.0,6183,4014,3.0,R,DK,F,W,18,6,3,0,S,M,S,3,M,M,S,W,N,0,A,A,A,N,A,16 nonantum st,1050000
366,16,NORWELL,ST,2121,105,R3,N,109400,374100,483500,506708,1657.0,1890.0,0.0,3508,2627,3.0,R,RE,F,B,14,8,3,0,S,S,S,3,S,S,S,E,N,0,A,A,A,N,A,16 norwell st,406000
367,16,RUSSELL,ST,2129,101,R1,Y,226900,501200,728100,763049,1350.0,1870.0,2008.0,1976,1334,2.5,R,CL,G,F,5,2,1,1,M,M,,1,M,,,E,C,0,A,A,G,N,A,16 russell st,877000
368,16,SARANAC,ST,2122,101,R1,Y,141100,286500,427600,448125,3600.0,1903.0,0.0,3052,1697,2.0,R,CL,G,U,9,4,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,16 saranac st,400000
369,16,SEFTON,ST,2136,101,R1,Y,92500,204700,297200,311466,4026.0,1950.0,0.0,2292,1808,1.0,R,RR,G,W,5,3,1,1,S,S,,1,S,,,F,N,0,A,A,G,N,A,16 sefton st,362000
370,16,SUMMIT,ST,2136,101,R1,Y,139200,219900,359100,376337,6329.0,1952.0,0.0,2448,1104,1.0,R,CP,G,W,6,3,2,0,S,S,,1,S,,,W,N,1,A,A,A,N,A,16 summit st,429000
371,16,TREADWAY,RD,2125,101,R1,Y,141000,315100,456100,477993,4332.0,1900.0,0.0,2840,1645,2.0,R,CL,G,M,7,3,1,1,M,S,,1,S,,,F,C,0,A,A,A,N,A,16 treadway rd,715000
372,16,WOODBINE,ST,2119,104,R2,N,84900,280700,365600,383149,3168.0,1900.0,2013.0,3411,2076,2.0,R,CV,G,M,10,5,2,0,M,M,,2,M,S,,W,N,0,A,A,G,N,A,16 woodbine st,430000
373,161,BENNINGTON,ST,2128,105,R3,N,130200,318000,448200,469714,1360.0,1900.0,0.0,2736,2456,3.0,R,RM,F,M,12,5,3,1,S,S,S,3,S,S,S,E,N,0,A,A,A,N,A,161 bennington st,675000
374,161,PERHAM,ST,2132,101,R1,Y,152300,371000,523300,548419,6375.0,1910.0,2014.0,2371,1408,2.0,R,CL,L,W,8,4,2,0,S,M,,1,M,,,W,N,0,A,G,G,N,A,161 perham st,625000
375,1615,TREMONT,ST,2120,104,R2,N,282900,559900,842800,883254,2024.0,1999.0,2005.0,3034,2181,3.0,,RE,M,B,10,6,4,0,M,M,M,2,M,M,,F,C,0,A,G,G,N,A,1615 tremont st,1620000
376,162,GLENWAY,ST,2121,101,R1,N,118400,229300,347700,364390,5000.0,1900.0,2016.0,4268,2351,2.0,R,CL,H,W,10,5,1,0,S,,,1,S,,,W,N,0,A,A,G,N,A,162 glenway st,288719
377,162,SHERRIN,ST,2136,101,R1,N,131400,254400,385800,404318,5000.0,1956.0,2016.0,2160,1224,1.5,R,CP,G,A,6,3,1,1,M,M,,1,M,,,W,N,0,A,A,G,N,A,162 sherrin st,385000
378,163,BEECH,ST,2131,101,R1,Y,177500,396500,574000,601552,5459.0,1920.0,0.0,3792,2107,2.0,R,CL,G,M,10,6,1,1,M,S,,1,S,,,W,N,1,A,A,G,N,A,163 beech st,668500
379,164,BIGELOW,ST,2135,104,R2,N,153900,630000,783900,821527,4000.0,1890.0,0.0,4356,3524,2.0,R,TF,M,M,12,8,3,0,S,S,S,2,S,S,,W,N,0,A,A,A,N,G,164 bigelow st,930000
380,165,BIGELOW,ST,2135,101,R1,Y,208900,309300,518200,543074,8976.0,1920.0,2001.0,2372,1100,1.0,R,CP,G,W,6,3,2,0,S,M,,1,S,,,W,N,1,A,A,A,N,G,165 bigelow st,650000
381,165,MANTHORNE,RD,2132,104,R2,Y,174100,377400,551500,577972,5000.0,1910.0,0.0,3777,2250,2.0,R,TF,H,M,10,4,2,0,S,S,,2,S,S,,W,N,0,A,A,A,N,A,165 manthorne rd,780000
382,165,W NEWTON,ST,2118,101,R1,N,704000,2425900,3129900,3280135,1296.0,1860.0,2016.0,3796,2802,3.0,R,RM,M,B,9,4,2,1,L,M,M,1,L,,,F,C,1,G,E,G,E,A,165 w newton st,4000000
383,1658,CENTRE,ST,2132,101,R1,N,189500,470500,660000,691680,7363.0,1931.0,1998.0,5564,3008,2.0,D,CL,G,B,8,5,2,1,S,S,S,1,N,,,W,N,2,A,A,A,N,A,1658 centre st,891000
384,166,W BROOKLINE,ST,2118,101,R1,N,816700,2058300,2875000,3013000,1440.0,1850.0,2009.0,4060,3876,4.0,R,RM,F,B,10,3,3,1,L,M,M,1,L,,,W,C,3,A,G,G,N,A,166 w brookline st,3050000
385,168,LEYDEN,ST,2128,105,R3,Y,144400,463900,608300,637499,2800.0,1890.0,0.0,6164,4590,3.0,R,DK,F,W,14,9,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,168 leyden st,890000
386,169,COREY,ST,2132,101,R1,N,170200,487700,657900,689479,6309.0,1935.0,2016.0,3665,2074,2.0,R,CL,G,W,8,4,2,1,M,M,M,1,M,,,W,N,1,G,G,G,N,A,169 corey st,880000
