,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,PTYPE,LU,OWN_OCC,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,ST_ADDRESS,SALE_PRICE
0,1,EMMONS,ST,2128,101,R1,N,102400,269100,371500,389332,1320.0,1910.0,2016.0,1862,1188,2.0,R,RE,F,V,6,3,2,1,M,M,M,1,M,,,W,N,0,A,A,G,N,A,1 emmons st,320000
1,1,GREENWICH,CT,2120,101,R1,Y,112100,338700,450800,472439,564.0,1900.0,1999.0,1365,1258,2.0,R,RM,F,B,5,2,2,0,M,M,,1,M,,,F,C,0,G,G,G,N,A,1 greenwich ct,745000
2,1,LAROSE,PL,2135,104,R2,N,206100,779000,985100,1032385,4442.0,2014.0,,5076,3079,2.0,R,DX,G,M,10,6,4,2,M,M,M,2,M,M,,F,C,0,G,G,G,N,A,1 larose pl,1370000
3,1,LAUREL,ST,2129,101,R1,Y,278800,1535900,1814700,1901806,1096.0,1855.0,1995.0,2813,2022,3.0,R,SD,F,B,8,3,2,0,M,M,M,1,M,,,W,C,2,G,G,G,E,G,1 laurel st,1630000
4,1,LAWNWOOD,PL,2129,101,R1,Y,221000,625700,846700,887342,1197.0,1855.0,0.0,2872,2180,3.0,R,RM,M,B,10,4,1,0,N,,,1,N,,,W,N,0,A,A,A,N,A,1 lawnwood pl,1000000
5,1,PLEASANT STREET,CT,2129,101,R1,Y,250700,759700,1010400,1058900,1000.0,1839.0,2001.0,2268,1701,3.0,R,RE,G,F,6,3,2,1,M,M,M,1,M,,,W,C,1,G,G,G,N,A,1 pleasant street ct,1360000
6,1,ROWEN,CT,2130,101,R1,Y,96100,250000,346100,362713,1200.0,1999.0,,1638,1094,2.5,R,CL,G,M,6,3,1,1,M,M,,1,M,,,F,C,0,A,G,G,N,F,1 rowen ct,567500
7,1,SHENANDOAH,ST,2124,104,R2,Y,170700,443700,614400,643892,5748.0,1900.0,0.0,5920,3353,2.5,R,CV,H,M,11,5,2,0,S,S,,2,S,M,,W,N,2,A,A,A,N,A,1 shenandoah st,701000
8,1,STRONG,PL,2114,101,R1,N,569600,879400,1449000,1518552,740.0,1890.0,2014.0,2220,1458,2.5,R,RE,S,B,5,3,2,1,M,M,M,1,M,,,F,C,0,A,G,G,N,P,1 strong pl,1600000
9,1,WOODVILLE,ST,2119,101,R1,Y,71500,167900,239400,250891,2100.0,1880.0,0.0,3702,2248,2.0,R,CL,G,M,11,5,2,1,S,S,S,1,S,,,W,N,1,A,A,A,N,A,1 woodville st,369000
10,10,ADAMSON,ST,2134,101,R1,Y,200400,301100,501500,525572,5000.0,1900.0,0.0,2026,1324,2.0,R,SD,G,M,6,3,1,1,S,S,,1,S,,,W,N,0,A,A,A,N,A,10 adamson st,550000
11,10,ARBUTUS,ST,2124,101,R1,Y,84900,215100,300000,314400,2685.0,1991.0,0.0,1720,1520,2.0,R,SD,G,M,6,3,2,0,S,S,,1,S,,,W,N,0,A,A,A,N,A,10 arbutus st,300000
12,10,ARDALE,ST,2131,101,R1,Y,165000,299300,464300,486587,4964.0,1900.0,2016.0,2380,1506,2.0,R,CL,G,A,6,3,1,0,S,,,1,M,,,W,N,0,A,G,A,N,A,10 ardale st,675000
13,10,ASHMONT,ST,2124,101,R1,Y,131100,410200,541300,567283,3713.0,1900.0,2013.0,3844,2373,2.5,R,CL,H,U,9,5,2,1,M,M,M,1,M,,,W,N,0,A,G,G,N,A,10 ashmont st,801000
14,10,BEETHOVEN,ST,2119,104,R2,N,157700,417000,574700,602286,3800.0,1905.0,2016.0,3711,2442,2.0,R,TF,M,M,9,5,2,1,M,M,M,2,M,M,,F,N,0,A,A,G,N,A,10 beethoven st,425000
15,10,BROCKTON,ST,2126,104,R2,N,116600,277700,394300,413226,5870.0,1935.0,1989.0,4362,2652,2.0,R,TF,H,M,11,6,2,0,S,S,,2,S,S,,W,N,0,G,A,A,N,A,10 brockton st,325000
16,10,BRUCE,ST,2124,101,R1,Y,128000,297100,425100,445505,2938.0,1900.0,2001.0,3582,1843,2.0,R,CL,G,M,9,6,1,1,M,M,,1,M,,,F,N,0,A,A,G,N,A,10 bruce st,495000
17,10,CALTHA,RD,2135,101,R1,Y,214500,485100,699600,733181,4673.0,1920.0,2005.0,3230,1912,2.0,R,CL,G,W,9,4,1,1,M,M,,1,M,,,F,C,1,A,A,G,N,A,10 caltha rd,826500
18,10,CROSS,ST,2129,101,R1,Y,297900,772800,1070700,1122094,1380.0,1885.0,1996.0,2328,1363,2.0,R,CL,G,W,7,4,1,1,M,M,,1,M,,,W,N,3,G,G,E,N,A,10 cross st,1170000
19,10,DAWES,ST,2125,105,R3,Y,148400,445800,594200,622722,2810.0,1905.0,0.0,5259,3519,3.0,R,DK,F,W,17,8,3,0,N,N,N,3,N,S,S,F,N,0,A,A,A,N,A,10 dawes st,399500
20,10,FARRIN,ST,2136,101,R1,Y,119400,257800,377200,395306,5000.0,1955.0,0.0,2326,1265,1.5,R,CP,G,M,6,3,3,0,M,M,M,1,M,,,W,N,0,A,A,G,N,A,10 farrin st,390000
21,10,FOX POINT,RD,2125,101,R1,Y,133000,418400,551400,577868,2209.0,1920.0,2016.0,2456,1592,2.0,R,CV,G,C,6,3,2,0,M,M,,1,M,,,F,N,0,G,G,G,N,A,10 fox point rd,443000
22,10,GILMAN,ST,2131,101,R1,N,59600,237200,296800,311046,1550.0,1880.0,2008.0,1562,936,2.0,R,CL,G,A,5,2,1,1,M,M,,1,M,,,W,N,0,A,A,G,N,A,10 gilman st,405500
23,10,GLENBURNIE,RD,2132,101,R1,Y,202600,416100,618700,648398,8187.0,1946.0,0.0,2990,1791,2.0,R,CL,G,W,7,4,2,1,M,M,S,1,M,,,W,N,1,A,G,G,N,A,10 glenburnie rd,801000
24,10,GLOUCESTER,ST,2115,105,R3,N,590544,2004768,2595312,2719887,1403.0,1890.0,2017.0,4926,4112,3.5,R,RM,G,B,14,6,7,1,M,M,M,3,M,M,M,F,C,3,G,E,E,E,A,10 gloucester st,4050000
25,10,HOLBORN,ST,2121,105,R3,Y,87600,459000,546600,572837,2300.0,1910.0,2014.0,6176,4416,3.0,R,SD,F,B,20,6,3,0,M,M,M,3,M,M,M,W,N,0,A,A,G,N,A,10 holborn st,285000
26,10,INTERVALE,ST,2121,105,R3,Y,142600,427300,569900,597256,4049.0,1900.0,2014.0,5918,3576,2.5,R,CV,G,F,12,7,3,0,S,S,S,3,M,M,M,W,N,0,G,G,G,N,A,10 intervale st,577400
27,10,JOHNSTON,RD,2124,104,R2,N,116400,278200,394600,413541,5000.0,1910.0,0.0,5956,3463,2.5,R,CV,G,M,15,7,2,0,S,S,,2,S,S,,W,N,1,A,A,A,N,A,10 johnston rd,599900
28,10,LEWISTON,ST,2136,101,R1,N,108900,172500,281400,294907,4935.0,1940.0,0.0,1320,650,1.0,R,CP,G,M,4,2,1,1,S,S,,1,S,,,F,N,0,A,A,A,N,A,10 lewiston st,325000
29,10,LINDEN,RD,2132,101,R1,Y,113000,300600,413600,433453,4513.0,1950.0,2009.0,2276,1056,1.0,R,RN,G,W,5,3,2,0,M,M,,1,M,,,F,C,1,A,A,G,N,A,10 linden rd,433000
30,10,LITTLEDALE,ST,2131,101,R1,Y,125400,299300,424700,445086,4288.0,1935.0,2015.0,2625,1274,1.5,R,CP,G,W,6,3,1,0,M,,,1,S,,,W,N,0,A,A,A,N,A,10 littledale st,485000
31,10,MORELAND,ST,2119,101,R1,N,87120,301488,388608,407261,1895.0,1890.0,2016.0,4080,2064,2.0,R,RM,F,B,8,5,3,1,M,M,M,1,M,,,W,C,0,A,G,G,N,A,10 moreland st,230000
32,10,ORANGE,ST,2131,101,R1,N,148700,246700,395400,414379,5952.0,1884.0,2003.0,1838,1138,2.0,R,CL,G,W,6,2,1,0,M,,,1,S,,,W,N,0,A,A,A,N,A,10 orange st,500000
33,10,PARIS,ST,2128,101,R1,Y,87000,218800,305800,320479,900.0,1920.0,0.0,2500,1816,3.0,R,RM,G,M,6,4,2,1,S,S,S,1,S,,,W,N,0,A,A,A,N,A,10 paris st,600000
34,10,RITA,RD,2124,101,R1,Y,139900,294000,433900,454728,3705.0,1945.0,0.0,1847,1056,2.0,R,CL,G,M,5,2,1,0,S,,,1,S,,,W,N,1,G,G,G,N,A,10 rita rd,580000
35,10,SCHOOL,ST,2129,101,R1,Y,263800,580500,844300,884827,1167.0,1890.0,1995.0,2807,1994,3.0,R,RE,F,F,8,4,1,1,S,S,,1,S,,,W,N,0,G,A,A,N,A,10 school st,785000
36,10,SOUTHWICK,ST,2122,101,R1,Y,80900,263300,344200,360722,1080.0,1900.0,0.0,1816,1164,2.0,R,RM,F,B,5,2,1,0,S,,,1,S,,,F,N,0,A,A,A,N,A,10 southwick st,375000
37,10,STELLA,RD,2131,101,R1,Y,100600,203300,303900,318488,3750.0,1964.0,0.0,2256,1464,2.0,R,CL,G,M,7,4,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,10 stella rd,425000
38,10,SUNDERLAND,ST,2121,104,R2,N,157500,267500,425000,445400,5010.0,1900.0,0.0,5771,3468,2.0,R,CV,G,M,12,6,3,0,S,S,S,2,S,S,,W,N,1,A,A,A,N,A,10 sunderland st,552000
39,10,WADSWORTH,ST,2134,101,R1,N,147600,377760,525360,550577,3224.0,1890.0,2016.0,3724,2088,2.0,R,CL,H,M,10,7,3,1,M,M,M,1,M,,,W,N,0,F,A,A,N,F,10 wadsworth st,450000
40,10,WAYBURN,RD,2130,101,R1,Y,144000,277400,421400,441628,4800.0,1939.0,0.0,2004,1061,1.5,R,CP,G,W,5,2,1,0,M,,,1,M,,,W,N,1,A,A,G,N,A,10 wayburn rd,550000
41,10,WEYBOSSET,ST,2136,101,R1,Y,94900,281400,376300,394363,5250.0,1954.0,2016.0,3222,1436,1.0,R,CP,G,M,7,4,2,0,M,M,,1,M,,,W,C,0,G,G,G,N,A,10 weybosset st,435000
42,10,WILMORE,ST,2126,105,R3,N,129500,268800,398300,417418,2722.0,1905.0,0.0,5962,4062,3.0,R,DK,H,M,15,6,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,10 wilmore st,430000
43,100,MAPLE,ST,2132,101,R1,Y,137600,385500,523100,548209,4000.0,1900.0,2014.0,2764,1456,2.0,R,CL,H,M,8,3,2,0,M,M,,1,M,,,W,N,0,A,G,G,N,A,100 maple st,599000
44,100,REVERE,ST,2114,101,R1,Y,653700,1048600,1702300,1784011,700.0,1830.0,2016.0,2461,2161,3.5,R,RM,G,B,7,4,2,1,M,M,M,2,S,N,,F,C,1,A,A,A,N,A,100 revere st,2340000
45,100,RUNNING BROOK,RD,2132,101,R1,N,148100,231500,379600,397821,6031.0,1960.0,0.0,2484,1993,1.0,R,RR,G,W,9,3,1,1,S,M,,2,N,N,,W,N,0,A,A,A,N,A,100 running brook rd,372500
46,100,WALTER,ST,2131,104,R2,Y,205200,424400,629600,659821,7775.0,1890.0,2008.0,4418,2614,2.0,R,CV,G,M,12,6,3,0,S,M,M,2,S,M,,F,N,0,A,A,A,N,A,100 walter st,710000
47,100,WESTCHESTER,RD,2130,101,R1,Y,224500,575300,799800,838191,6865.0,1935.0,2007.0,3158,1880,2.0,R,CL,H,W,8,4,1,1,S,S,,1,M,,,W,N,1,G,G,G,N,G,100 westchester rd,805000
48,101,BOLTON,ST,2127,101,R1,Y,136600,522800,659400,691052,776.0,2004.0,,1564,1138,3.0,R,RM,F,F,4,2,2,0,M,M,,1,M,,,F,C,1,G,G,G,N,A,101 bolton st,770000
49,101,GLADSTONE,ST,2128,101,R1,Y,141100,253400,394500,413436,4475.0,1920.0,0.0,3121,1934,2.0,R,CL,H,F,8,4,1,0,S,,,1,S,,,W,N,0,G,A,A,N,G,101 gladstone st,565000
50,101,LAGRANGE,ST,2132,101,R1,Y,138400,295200,433600,454413,4768.0,1929.0,0.0,3276,1809,1.5,R,CV,H,M,8,4,1,0,S,,,1,M,,,W,N,1,A,A,A,N,A,101 lagrange st,505000
51,101,MATTAPAN,ST,2126,101,R1,N,115000,215600,330600,346469,3948.0,1960.0,2011.0,2392,1440,2.0,R,CL,G,M,9,4,1,1,M,M,,1,M,,,W,N,0,A,A,G,N,A,101 mattapan st,375000
52,101,NEWBURG,ST,2131,101,R1,Y,150800,432500,583300,611299,4250.0,1920.0,2008.0,4684,2069,2.0,R,CL,L,M,9,4,1,1,S,S,,1,S,,,W,N,1,G,G,G,N,A,101 newburg st,600000
53,101,ORMOND,ST,2126,104,R2,N,154700,330400,485100,508385,5737.0,2004.0,,3828,2938,3.0,R,CV,H,M,10,6,2,2,M,M,M,2,M,M,,F,C,0,A,A,G,N,A,101 ormond st,430000
54,1016,RIVER,ST,2136,104,R2,Y,166500,335500,502000,526096,7947.0,1880.0,2003.0,3572,2556,3.0,R,CV,M,M,15,9,3,0,M,S,M,2,S,S,,W,N,0,A,A,A,N,A,1016 river st,600000
55,102,BIGELOW,ST,2135,101,R1,Y,231500,326400,557900,584680,12924.0,1920.0,1995.0,2154,1248,2.0,R,CL,L,W,7,3,2,0,S,M,,1,S,,,F,N,1,A,A,A,N,A,102 bigelow st,730000
56,103,COTTAGE,ST,2128,104,R2,N,130500,381200,511700,536262,983.0,1900.0,0.0,2686,1857,3.0,R,RE,F,M,8,3,3,0,S,S,N,2,S,N,,W,N,0,A,A,A,N,A,103 cottage st,580000
57,103,HEWLETT,ST,2131,104,R2,N,177400,353800,531200,556698,5475.0,1920.0,0.0,3599,2121,2.0,R,TF,H,W,11,5,2,0,S,S,,2,S,S,,W,N,0,F,A,A,N,A,103 hewlett st,694000
58,103,KING,ST,2122,101,R1,Y,136300,383600,519900,544856,4012.0,1910.0,2000.0,3129,1920,2.0,R,CL,L,M,9,5,2,1,S,S,S,1,M,,,W,N,0,A,G,G,N,A,103 king st,525000
59,103,MYRTLE,ST,2114,105,R3,N,632700,981600,1614300,1691786,675.0,1890.0,0.0,2400,2192,3.0,R,RM,F,B,10,4,3,1,S,S,S,3,S,S,S,W,N,4,A,G,G,N,A,103 myrtle st,1790000
60,103,PRINCETON,ST,2128,104,R2,Y,142000,298700,440700,461854,2450.0,1890.0,0.0,3582,2188,2.0,R,SD,G,M,10,5,2,1,S,S,S,2,S,S,,W,N,0,A,A,A,N,A,103 princeton st,480900
61,103,STIMSON,ST,2132,101,R1,Y,146400,251900,398300,417419,12853.0,1950.0,2002.0,2329,1625,2.0,R,CL,G,M,7,4,2,0,M,M,,1,S,,,W,C,1,A,A,A,N,A,103 stimson st,422000
62,104,BEAVER,ST,2136,101,R1,Y,110900,488500,599400,628172,4649.0,2014.0,,4872,2808,2.0,,CL,G,C,7,4,2,1,M,M,M,1,M,,,F,C,1,G,G,G,N,A,104 beaver st,615000
63,104,CHESTNUT,ST,2108,101,R1,N,1448100,1415300,2863400,3000843,1540.0,1890.0,2016.0,3256,2442,3.0,R,RM,F,B,8,3,2,1,M,M,M,2,M,N,,W,N,1,G,G,G,N,A,104 chestnut st,2280000
64,104,E BROOKLINE,ST,2118,105,R3,N,405900,1101500,1507400,1579755,1974.0,1890.0,2005.0,3108,2889,3.0,R,RM,M,B,11,4,3,0,M,M,M,3,M,M,M,F,C,0,A,G,G,N,A,104 e brookline st,2260000
65,104,MILLET,ST,2124,105,R3,N,91200,303900,395100,414065,1912.0,1920.0,0.0,4452,3060,3.0,R,DK,F,M,15,6,3,0,S,M,S,3,S,S,N,W,N,0,G,A,A,N,A,104 millet st,515000
66,104,PERKINS,ST,2130,101,R1,N,275300,444600,719900,754455,4650.0,1910.0,1960.0,3302,1862,2.0,R,CL,H,S,8,3,2,0,N,N,,1,N,,,W,N,0,F,A,A,N,A,104 perkins st,813000
67,104,SPENCER,ST,2124,101,R1,Y,99500,205400,304900,319536,4500.0,1900.0,1997.0,2642,1668,2.0,R,CL,G,M,7,4,1,1,M,M,,1,M,,,W,N,0,A,A,G,N,A,104 spencer st,395000
68,104,WALWORTH,ST,2131,101,R1,Y,131000,255600,386600,405157,4036.0,1905.0,0.0,2504,1391,2.0,R,CL,L,M,6,3,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,104 walworth st,442000
69,105,MYRTLE,ST,2114,101,R1,Y,635900,1809600,2445500,2562884,675.0,1840.0,2011.0,2240,2043,3.0,R,RM,F,B,11,3,2,1,L,M,M,1,L,,,F,C,1,G,E,E,N,A,105 myrtle st,2800000
70,1055,SOUTH,ST,2131,101,R1,Y,162300,170000,332300,348251,6200.0,1925.0,0.0,1892,905,1.0,R,BW,H,F,5,2,1,0,S,,,1,S,,,W,N,0,A,A,A,N,A,1055 south st,520000
71,106,LAGRANGE,ST,2132,101,R1,Y,170600,293600,464200,486482,8094.0,1930.0,0.0,2911,1700,2.0,R,CL,L,M,8,3,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,106 lagrange st,560000
72,106,MILLET,ST,2124,105,R3,N,92600,284000,376600,394677,2040.0,1920.0,0.0,4608,3132,3.0,R,DK,F,M,15,6,3,0,S,S,S,3,S,S,S,F,N,0,A,A,A,N,A,106 millet st,557000
73,107,BLOOMFIELD,ST,2124,105,R3,N,162500,325500,488000,511424,4283.0,1900.0,0.0,6168,3984,2.5,R,CV,G,M,15,6,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,107 bloomfield st,650000
74,107,BRUNSWICK,ST,2121,105,R3,N,121700,455200,576900,604591,2939.0,1900.0,0.0,5384,3825,3.0,R,RM,F,B,15,6,3,0,M,M,M,3,M,M,M,W,N,0,A,A,A,N,A,107 brunswick st,615000
75,108,HAMMOND,ST,2120,105,R3,N,191000,491200,682200,714946,1090.0,1890.0,2007.0,3356,2517,3.0,R,RE,F,B,16,7,4,0,M,M,M,3,M,M,M,W,N,0,A,G,G,N,A,108 hammond st,1820000
76,108,PUTNAM,ST,2128,105,R3,N,137500,290500,428000,448544,1640.0,1900.0,1969.0,2964,2190,3.0,R,SD,F,M,11,5,3,0,S,N,N,3,S,N,N,W,N,0,A,A,A,N,A,108 putnam st,515000
77,108,WASHINGTON,ST,2136,104,R2,N,162800,301300,464100,486377,11934.0,1948.0,0.0,3600,2280,2.0,R,TF,H,M,12,6,2,0,S,S,,2,M,N,,F,N,0,A,A,A,N,A,108 washington st,529000
78,1086,MORTON,ST,2126,101,R1,N,145000,317000,462000,484176,6710.0,1920.0,2008.0,2845,1842,2.0,R,CL,G,A,7,4,2,1,M,M,S,1,M,,,W,N,1,A,A,G,N,G,1086 morton st,622000
79,109,FLORENCE,ST,2131,104,R2,Y,182700,370000,552700,579230,6518.0,1920.0,2005.0,4618,2784,2.0,R,CV,G,U,10,7,2,0,S,S,,2,M,S,,W,N,0,A,A,A,N,A,109 florence st,1500000
80,109,ITASCA,ST,2126,101,R1,Y,81400,187400,268800,281702,4152.0,1950.0,1989.0,2626,1438,2.0,R,CL,G,W,7,3,1,1,S,S,,1,S,,,W,N,1,F,A,A,N,A,109 itasca st,395000
81,109,WESTCHESTER,RD,2130,101,R1,Y,282800,456900,739700,775206,11842.0,1929.0,0.0,3597,1608,1.5,R,CP,G,B,8,3,2,1,S,S,S,1,S,,,W,N,1,A,A,G,N,A,109 westchester rd,790000
82,109,WESTVILLE,ST,2124,104,R2,Y,112000,251100,363100,380529,3600.0,1910.0,0.0,5106,3197,2.5,R,CV,G,M,13,7,2,0,S,S,,2,S,S,,F,N,0,A,A,A,N,A,109 westville st,475000
83,11,ADAMS,ST,2129,101,R1,Y,630500,1608600,2239100,2346577,1669.0,1860.0,2011.0,4596,3482,4.0,R,RM,F,B,11,5,3,1,M,M,M,1,M,,,W,C,4,G,G,G,N,G,11 adams st,428000
84,11,ALLEN,ST,2136,104,R2,Y,103700,272600,376300,394363,5000.0,1900.0,0.0,4336,2496,2.0,R,CV,G,M,11,4,3,0,S,S,S,2,S,S,,F,N,0,A,A,A,N,A,11 allen st,399000
85,11,ASHLAND,ST,2122,104,R2,N,192200,274700,466900,489311,6000.0,1900.0,0.0,5002,3071,2.0,R,CV,G,M,12,6,2,0,S,S,,2,S,S,,W,N,0,G,A,A,N,A,11 ashland st,599000
86,11,ATLANTIC,ST,2127,101,R1,N,212400,622500,834900,874975,1893.0,1880.0,0.0,3658,2576,3.0,R,CV,M,F,10,6,1,0,S,,,1,S,,,W,N,0,A,A,G,N,A,11 atlantic st,980000
87,11,BRAINARD,ST,2136,101,R1,Y,152600,215800,368400,386084,7522.0,1910.0,0.0,2361,1389,2.0,R,CL,G,M,6,3,1,0,S,,,1,S,,,W,N,0,A,A,A,N,A,11 brainard st,384000
88,11,CEYLON,ST,2125,104,R2,N,126200,170100,296300,310522,6820.0,1910.0,0.0,4836,2875,2.0,R,CV,G,M,11,5,2,0,N,N,,2,N,N,,W,N,0,A,A,A,N,A,11 ceylon st,250000
89,11,CLARKWOOD,ST,2126,104,R2,N,149100,394500,543600,569693,5945.0,1905.0,1996.0,5120,3241,2.5,R,CV,G,W,11,7,2,2,M,M,M,2,M,M,,W,N,0,G,G,G,N,A,11 clarkwood st,354375
90,11,CORMAN,RD,2126,101,R1,Y,95600,193200,288800,302663,6133.0,1950.0,0.0,2240,1120,1.0,R,RN,G,M,6,3,1,0,M,,,1,M,,,F,C,0,A,A,A,N,A,11 corman rd,205000
91,11,COURTLAND,RD,2126,105,R3,Y,130400,288400,418800,438903,3740.0,1905.0,0.0,5942,4162,3.0,R,DK,F,M,18,9,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,11 courtland rd,506000
92,11,DANE,ST,2130,101,R1,Y,327400,793700,1121100,1174913,4804.0,1920.0,2013.0,4366,2343,2.0,R,CL,G,B,10,3,2,1,M,S,M,1,M,,,W,C,2,A,G,G,N,A,11 dane st,1360000
93,11,DAWES,ST,2125,105,R3,N,135300,494700,630000,660240,2700.0,1905.0,2013.0,5178,3465,3.0,R,DK,F,W,15,6,3,0,M,M,S,3,M,M,S,F,N,0,A,A,A,N,A,11 dawes st,1280000
94,11,DURLAND,ST,2135,101,R1,N,160600,334500,495100,518865,5004.0,1930.0,0.0,2940,1619,1.5,R,CP,G,M,6,3,1,0,N,,,1,N,,,W,N,0,A,A,A,N,G,11 durland st,715000
95,11,EASTBOURNE,ST,2131,101,R1,Y,165600,329200,494800,518551,5977.0,1935.0,0.0,2876,1619,2.0,R,CL,G,W,7,3,1,1,M,S,,1,S,,,W,N,1,A,A,A,N,A,11 eastbourne st,860000
96,11,ESSEX,ST,2129,104,R2,N,168700,357200,525900,551143,927.0,1875.0,1984.0,2256,1450,2.0,R,RM,G,M,9,4,2,0,S,S,,2,S,S,,E,N,0,A,A,A,N,A,11 essex st,715000
97,11,FAYSTON,ST,2121,104,R2,Y,118200,255100,373300,391219,4390.0,1900.0,0.0,5697,3326,2.0,R,CV,G,M,16,6,2,0,S,S,,2,S,S,,W,N,0,A,A,A,N,A,11 fayston st,360000
98,11,FRANKLIN,PL,2131,101,R1,Y,187900,73100,261000,273528,6630.0,1850.0,0.0,2260,1404,2.0,R,CL,G,M,6,3,1,0,N,,,1,N,,,W,N,0,A,F,F,N,F,11 franklin pl,352000
99,11,GLIDE,ST,2122,101,R1,Y,150600,431700,582300,610251,4537.0,1930.0,2011.0,2688,1676,2.0,R,CL,H,M,7,3,2,1,M,M,M,1,M,,,F,C,1,G,G,G,N,A,11 glide st,655000
100,11,HAUTEVALE,ST,2131,101,R1,Y,168800,188400,357200,374345,8400.0,1952.0,0.0,1480,740,1.0,R,RN,G,M,5,2,1,0,S,,,1,S,,,W,N,1,A,A,A,N,A,11 hautevale st,337000
101,11,HEATHCOTE,ST,2131,101,R1,Y,124400,401200,525600,550829,4244.0,1905.0,2011.0,3423,1816,2.0,R,CL,G,M,7,4,1,1,M,M,,1,M,,,F,C,0,A,A,G,N,A,11 heathcote st,660000
102,11,HENDRY,ST,2122,105,R3,N,134300,427100,561400,588347,2894.0,1905.0,2010.0,4968,3330,3.0,R,DK,F,M,15,9,3,0,M,M,M,3,M,M,M,W,N,0,A,G,G,N,A,11 hendry st,615000
103,11,HILLOCK,ST,2131,101,R1,Y,130200,290800,421000,441208,3720.0,1960.0,1990.0,2744,1476,1.5,R,CP,G,M,9,5,1,1,S,S,,1,S,,,W,N,1,A,A,A,N,A,11 hillock st,510000
104,11,HOMEWOOD,RD,2132,101,R1,Y,159100,424200,583300,611299,4421.0,1932.0,2015.0,2648,1728,2.0,R,CL,G,M,7,3,2,1,M,M,M,1,M,,,W,C,1,A,A,G,N,A,11 homewood rd,655000
105,11,HOPESTILL,ST,2124,104,R2,Y,170900,303600,474500,497276,7461.0,2000.0,,2675,2334,2.0,R,CV,G,M,10,5,3,0,S,S,S,2,S,S,,F,C,1,A,A,G,N,A,11 hopestill st,499000
106,11,MAYWOOD,ST,2119,105,R3,Y,74011,402938,476949,499843,2100.0,1900.0,2016.0,4932,3517,3.0,R,DK,G,M,17,9,3,1,M,M,M,3,M,M,M,W,C,0,A,A,G,N,A,11 maywood st,680000
107,11,MONUMENT,ST,2129,104,R2,N,207784,891404,1099188,1151949,1314.0,1885.0,2016.0,5089,3556,3.0,R,CV,F,C,13,5,3,2,M,M,M,2,M,M,,F,C,0,G,G,G,N,A,11 monument st,982500
108,11,NORTHDALE,RD,2132,101,R1,N,126500,344000,470500,493084,5022.0,1955.0,2016.0,2824,1599,1.5,R,CP,G,M,7,3,2,0,M,M,,1,M,,,W,N,1,G,A,G,N,A,11 northdale rd,561299
109,11,RAVEN,ST,2125,105,R3,Y,146000,461100,607100,636241,2244.0,1905.0,0.0,5303,3555,3.0,R,DK,F,P,15,7,3,0,M,M,M,3,S,S,S,W,N,0,A,A,A,N,A,11 raven st,720000
110,11,ROMSEY,ST,2125,105,R3,N,178400,446700,625100,655105,3420.0,1905.0,0.0,4872,3234,3.0,R,DK,F,W,15,6,3,0,S,S,S,3,S,S,S,W,N,0,A,A,A,N,A,11 romsey st,995000
111,11,SALCOMBE,ST,2125,105,R3,N,168700,593700,762400,798995,4387.0,1926.0,0.0,5675,4071,3.0,R,DK,F,W,18,6,3,0,S,S,S,3,S,S,S,W,N,0,G,A,G,N,A,11 salcombe st,960000
112,11,SANFORD,ST,2136,101,R1,Y,137200,357300,494500,518236,6000.0,2001.0,,3712,2408,2.0,R,CL,G,M,11,4,2,1,S,S,S,1,M,,,F,C,1,A,A,A,N,A,11 sanford st,590000
113,11,TYNDALE,ST,2131,101,R1,Y,141600,321400,463000,485224,3680.0,1910.0,0.0,3305,1865,2.0,R,CL,G,M,9,4,1,0,M,,,1,N,,,W,N,0,A,A,A,N,A,11 tyndale st,601000
114,11,WALDECK,ST,2124,101,R1,Y,190100,325700,515800,540559,5263.0,1900.0,2002.0,3285,1613,1.5,R,BW,G,W,6,2,1,1,M,M,,1,M,,,F,C,1,A,G,G,N,A,11 waldeck st,675000
115,11,WAYNE,ST,2121,101,R1,Y,90282,380644,470926,493531,10720.0,1905.0,2016.0,7952,4819,2.5,R,VT,H,M,14,5,2,1,M,M,M,2,M,S,,W,N,5,A,A,G,E,A,11 wayne st,490000
